tbl,id,doc
locations,30,"{""id"":30,""kind"":""district"",""parent_id"":21,""name"":""Pune"",""slug"":""pune"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Pune, Maharashtra, India"",""is_active"":1}"
locations,31,"{""id"":31,""kind"":""city"",""parent_id"":30,""name"":""Pune"",""slug"":""pune"",""code"":null,""pin_code"":null,""latitude"":18.5204,""longitude"":73.8567,""search_text"":""Pune, Pune, Maharashtra, India"",""is_active"":1}"
locations,32,"{""id"":32,""kind"":""locality"",""parent_id"":31,""name"":""Kothrud"",""slug"":""kothrud"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Kothrud, Pune, Pune, Maharashtra, India"",""is_active"":1}"
locations,33,"{""id"":33,""kind"":""pincode"",""parent_id"":32,""name"":""411038"",""slug"":""pin-411038"",""code"":null,""pin_code"":""411038"",""latitude"":null,""longitude"":null,""search_text"":""411038, Kothrud, Pune, Pune, Maharashtra, India"",""is_active"":1}"
locations,34,"{""id"":34,""kind"":""locality"",""parent_id"":31,""name"":""Hinjewadi"",""slug"":""hinjewadi"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Hinjewadi, Pune, Pune, Maharashtra, India"",""is_active"":1}"
locations,35,"{""id"":35,""kind"":""pincode"",""parent_id"":34,""name"":""411057"",""slug"":""pin-411057"",""code"":null,""pin_code"":""411057"",""latitude"":null,""longitude"":null,""search_text"":""411057, Hinjewadi, Pune, Pune, Maharashtra, India"",""is_active"":1}"
locations,36,"{""id"":36,""kind"":""locality"",""parent_id"":31,""name"":""Kharadi"",""slug"":""kharadi"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Kharadi, Pune, Pune, Maharashtra, India"",""is_active"":1}"
locations,37,"{""id"":37,""kind"":""pincode"",""parent_id"":36,""name"":""411014"",""slug"":""pin-411014"",""code"":null,""pin_code"":""411014"",""latitude"":null,""longitude"":null,""search_text"":""411014, Kharadi, Pune, Pune, Maharashtra, India"",""is_active"":1}"
locations,38,"{""id"":38,""kind"":""district"",""parent_id"":21,""name"":""Nagpur"",""slug"":""nagpur"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Nagpur, Maharashtra, India"",""is_active"":1}"
locations,39,"{""id"":39,""kind"":""city"",""parent_id"":38,""name"":""Nagpur"",""slug"":""nagpur"",""code"":null,""pin_code"":null,""latitude"":21.1458,""longitude"":79.0882,""search_text"":""Nagpur, Nagpur, Maharashtra, India"",""is_active"":1}"
locations,40,"{""id"":40,""kind"":""locality"",""parent_id"":39,""name"":""Dharampeth"",""slug"":""dharampeth"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Dharampeth, Nagpur, Nagpur, Maharashtra, India"",""is_active"":1}"
locations,41,"{""id"":41,""kind"":""pincode"",""parent_id"":40,""name"":""440010"",""slug"":""pin-440010"",""code"":null,""pin_code"":""440010"",""latitude"":null,""longitude"":null,""search_text"":""440010, Dharampeth, Nagpur, Nagpur, Maharashtra, India"",""is_active"":1}"
locations,42,"{""id"":42,""kind"":""state"",""parent_id"":1,""name"":""Karnataka"",""slug"":""karnataka"",""code"":""KA"",""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Karnataka, India"",""is_active"":1}"
locations,43,"{""id"":43,""kind"":""district"",""parent_id"":42,""name"":""Bengaluru Urban"",""slug"":""bengaluru-urban"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Bengaluru Urban, Karnataka, India"",""is_active"":1}"
locations,44,"{""id"":44,""kind"":""city"",""parent_id"":43,""name"":""Bengaluru"",""slug"":""bengaluru"",""code"":null,""pin_code"":null,""latitude"":12.9716,""longitude"":77.5946,""search_text"":""Bengaluru, Bengaluru Urban, Karnataka, India"",""is_active"":1}"
locations,45,"{""id"":45,""kind"":""locality"",""parent_id"":44,""name"":""Indiranagar"",""slug"":""indiranagar"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Indiranagar, Bengaluru, Bengaluru Urban, Karnataka, India"",""is_active"":1}"
locations,46,"{""id"":46,""kind"":""pincode"",""parent_id"":45,""name"":""560038"",""slug"":""pin-560038"",""code"":null,""pin_code"":""560038"",""latitude"":null,""longitude"":null,""search_text"":""560038, Indiranagar, Bengaluru, Bengaluru Urban, Karnataka, India"",""is_active"":1}"
locations,47,"{""id"":47,""kind"":""locality"",""parent_id"":44,""name"":""Koramangala"",""slug"":""koramangala"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Koramangala, Bengaluru, Bengaluru Urban, Karnataka, India"",""is_active"":1}"
locations,48,"{""id"":48,""kind"":""pincode"",""parent_id"":47,""name"":""560034"",""slug"":""pin-560034"",""code"":null,""pin_code"":""560034"",""latitude"":null,""longitude"":null,""search_text"":""560034, Koramangala, Bengaluru, Bengaluru Urban, Karnataka, India"",""is_active"":1}"
locations,49,"{""id"":49,""kind"":""locality"",""parent_id"":44,""name"":""Jayanagar"",""slug"":""jayanagar"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Jayanagar, Bengaluru, Bengaluru Urban, Karnataka, India"",""is_active"":1}"
locations,50,"{""id"":50,""kind"":""pincode"",""parent_id"":49,""name"":""560041"",""slug"":""pin-560041"",""code"":null,""pin_code"":""560041"",""latitude"":null,""longitude"":null,""search_text"":""560041, Jayanagar, Bengaluru, Bengaluru Urban, Karnataka, India"",""is_active"":1}"
locations,51,"{""id"":51,""kind"":""locality"",""parent_id"":44,""name"":""Whitefield"",""slug"":""whitefield"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Whitefield, Bengaluru, Bengaluru Urban, Karnataka, India"",""is_active"":1}"
locations,52,"{""id"":52,""kind"":""pincode"",""parent_id"":51,""name"":""560066"",""slug"":""pin-560066"",""code"":null,""pin_code"":""560066"",""latitude"":null,""longitude"":null,""search_text"":""560066, Whitefield, Bengaluru, Bengaluru Urban, Karnataka, India"",""is_active"":1}"
locations,53,"{""id"":53,""kind"":""district"",""parent_id"":42,""name"":""Mysuru"",""slug"":""mysuru"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Mysuru, Karnataka, India"",""is_active"":1}"
locations,54,"{""id"":54,""kind"":""city"",""parent_id"":53,""name"":""Mysuru"",""slug"":""mysuru"",""code"":null,""pin_code"":null,""latitude"":12.2958,""longitude"":76.6394,""search_text"":""Mysuru, Mysuru, Karnataka, India"",""is_active"":1}"
locations,55,"{""id"":55,""kind"":""locality"",""parent_id"":54,""name"":""Vijayanagar"",""slug"":""vijayanagar"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Vijayanagar, Mysuru, Mysuru, Karnataka, India"",""is_active"":1}"
locations,56,"{""id"":56,""kind"":""pincode"",""parent_id"":55,""name"":""570017"",""slug"":""pin-570017"",""code"":null,""pin_code"":""570017"",""latitude"":null,""longitude"":null,""search_text"":""570017, Vijayanagar, Mysuru, Mysuru, Karnataka, India"",""is_active"":1}"
locations,57,"{""id"":57,""kind"":""state"",""parent_id"":1,""name"":""Tamil Nadu"",""slug"":""tamil-nadu"",""code"":""TN"",""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Tamil Nadu, India"",""is_active"":1}"
locations,58,"{""id"":58,""kind"":""district"",""parent_id"":57,""name"":""Chennai"",""slug"":""chennai"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Chennai, Tamil Nadu, India"",""is_active"":1}"
locations,59,"{""id"":59,""kind"":""city"",""parent_id"":58,""name"":""Chennai"",""slug"":""chennai"",""code"":null,""pin_code"":null,""latitude"":13.0827,""longitude"":80.2707,""search_text"":""Chennai, Chennai, Tamil Nadu, India"",""is_active"":1}"
locations,60,"{""id"":60,""kind"":""locality"",""parent_id"":59,""name"":""T. Nagar"",""slug"":""t-nagar"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""T. Nagar, Chennai, Chennai, Tamil Nadu, India"",""is_active"":1}"
locations,61,"{""id"":61,""kind"":""pincode"",""parent_id"":60,""name"":""600017"",""slug"":""pin-600017"",""code"":null,""pin_code"":""600017"",""latitude"":null,""longitude"":null,""search_text"":""600017, T. Nagar, Chennai, Chennai, Tamil Nadu, India"",""is_active"":1}"
locations,62,"{""id"":62,""kind"":""locality"",""parent_id"":59,""name"":""Adyar"",""slug"":""adyar"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Adyar, Chennai, Chennai, Tamil Nadu, India"",""is_active"":1}"
locations,63,"{""id"":63,""kind"":""pincode"",""parent_id"":62,""name"":""600020"",""slug"":""pin-600020"",""code"":null,""pin_code"":""600020"",""latitude"":null,""longitude"":null,""search_text"":""600020, Adyar, Chennai, Chennai, Tamil Nadu, India"",""is_active"":1}"
locations,64,"{""id"":64,""kind"":""locality"",""parent_id"":59,""name"":""Velachery"",""slug"":""velachery"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Velachery, Chennai, Chennai, Tamil Nadu, India"",""is_active"":1}"
locations,65,"{""id"":65,""kind"":""pincode"",""parent_id"":64,""name"":""600042"",""slug"":""pin-600042"",""code"":null,""pin_code"":""600042"",""latitude"":null,""longitude"":null,""search_text"":""600042, Velachery, Chennai, Chennai, Tamil Nadu, India"",""is_active"":1}"
locations,66,"{""id"":66,""kind"":""district"",""parent_id"":57,""name"":""Coimbatore"",""slug"":""coimbatore"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Coimbatore, Tamil Nadu, India"",""is_active"":1}"
locations,67,"{""id"":67,""kind"":""city"",""parent_id"":66,""name"":""Coimbatore"",""slug"":""coimbatore"",""code"":null,""pin_code"":null,""latitude"":11.0168,""longitude"":76.9558,""search_text"":""Coimbatore, Coimbatore, Tamil Nadu, India"",""is_active"":1}"
locations,68,"{""id"":68,""kind"":""locality"",""parent_id"":67,""name"":""RS Puram"",""slug"":""rs-puram"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""RS Puram, Coimbatore, Coimbatore, Tamil Nadu, India"",""is_active"":1}"
locations,69,"{""id"":69,""kind"":""pincode"",""parent_id"":68,""name"":""641002"",""slug"":""pin-641002"",""code"":null,""pin_code"":""641002"",""latitude"":null,""longitude"":null,""search_text"":""641002, RS Puram, Coimbatore, Coimbatore, Tamil Nadu, India"",""is_active"":1}"
locations,70,"{""id"":70,""kind"":""state"",""parent_id"":1,""name"":""Delhi"",""slug"":""delhi"",""code"":""DL"",""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Delhi, India"",""is_active"":1}"
locations,71,"{""id"":71,""kind"":""district"",""parent_id"":70,""name"":""New Delhi"",""slug"":""new-delhi"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""New Delhi, Delhi, India"",""is_active"":1}"
locations,72,"{""id"":72,""kind"":""city"",""parent_id"":71,""name"":""New Delhi"",""slug"":""new-delhi"",""code"":null,""pin_code"":null,""latitude"":28.6139,""longitude"":77.209,""search_text"":""New Delhi, New Delhi, Delhi, India"",""is_active"":1}"
locations,73,"{""id"":73,""kind"":""locality"",""parent_id"":72,""name"":""Connaught Place"",""slug"":""connaught-place"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Connaught Place, New Delhi, New Delhi, Delhi, India"",""is_active"":1}"
locations,74,"{""id"":74,""kind"":""pincode"",""parent_id"":73,""name"":""110001"",""slug"":""pin-110001"",""code"":null,""pin_code"":""110001"",""latitude"":null,""longitude"":null,""search_text"":""110001, Connaught Place, New Delhi, New Delhi, Delhi, India"",""is_active"":1}"
locations,75,"{""id"":75,""kind"":""locality"",""parent_id"":72,""name"":""Lajpat Nagar"",""slug"":""lajpat-nagar"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Lajpat Nagar, New Delhi, New Delhi, Delhi, India"",""is_active"":1}"
locations,76,"{""id"":76,""kind"":""pincode"",""parent_id"":75,""name"":""110024"",""slug"":""pin-110024"",""code"":null,""pin_code"":""110024"",""latitude"":null,""longitude"":null,""search_text"":""110024, Lajpat Nagar, New Delhi, New Delhi, Delhi, India"",""is_active"":1}"
locations,77,"{""id"":77,""kind"":""district"",""parent_id"":70,""name"":""South West Delhi"",""slug"":""south-west-delhi"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""South West Delhi, Delhi, India"",""is_active"":1}"
locations,78,"{""id"":78,""kind"":""city"",""parent_id"":77,""name"":""Dwarka"",""slug"":""dwarka"",""code"":null,""pin_code"":null,""latitude"":28.5921,""longitude"":77.046,""search_text"":""Dwarka, South West Delhi, Delhi, India"",""is_active"":1}"
locations,79,"{""id"":79,""kind"":""locality"",""parent_id"":78,""name"":""Dwarka Sector 6"",""slug"":""dwarka-sector-6"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Dwarka Sector 6, Dwarka, South West Delhi, Delhi, India"",""is_active"":1}"
locations,80,"{""id"":80,""kind"":""pincode"",""parent_id"":79,""name"":""110075"",""slug"":""pin-110075"",""code"":null,""pin_code"":""110075"",""latitude"":null,""longitude"":null,""search_text"":""110075, Dwarka Sector 6, Dwarka, South West Delhi, Delhi, India"",""is_active"":1}"
locations,81,"{""id"":81,""kind"":""state"",""parent_id"":1,""name"":""Uttar Pradesh"",""slug"":""uttar-pradesh"",""code"":""UP"",""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Uttar Pradesh, India"",""is_active"":1}"
locations,82,"{""id"":82,""kind"":""district"",""parent_id"":81,""name"":""Lucknow"",""slug"":""lucknow"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Lucknow, Uttar Pradesh, India"",""is_active"":1}"
locations,83,"{""id"":83,""kind"":""city"",""parent_id"":82,""name"":""Lucknow"",""slug"":""lucknow"",""code"":null,""pin_code"":null,""latitude"":26.8467,""longitude"":80.9462,""search_text"":""Lucknow, Lucknow, Uttar Pradesh, India"",""is_active"":1}"
locations,84,"{""id"":84,""kind"":""locality"",""parent_id"":83,""name"":""Hazratganj"",""slug"":""hazratganj"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Hazratganj, Lucknow, Lucknow, Uttar Pradesh, India"",""is_active"":1}"
locations,85,"{""id"":85,""kind"":""pincode"",""parent_id"":84,""name"":""226001"",""slug"":""pin-226001"",""code"":null,""pin_code"":""226001"",""latitude"":null,""longitude"":null,""search_text"":""226001, Hazratganj, Lucknow, Lucknow, Uttar Pradesh, India"",""is_active"":1}"
locations,86,"{""id"":86,""kind"":""locality"",""parent_id"":83,""name"":""Gomti Nagar"",""slug"":""gomti-nagar"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Gomti Nagar, Lucknow, Lucknow, Uttar Pradesh, India"",""is_active"":1}"
locations,87,"{""id"":87,""kind"":""pincode"",""parent_id"":86,""name"":""226010"",""slug"":""pin-226010"",""code"":null,""pin_code"":""226010"",""latitude"":null,""longitude"":null,""search_text"":""226010, Gomti Nagar, Lucknow, Lucknow, Uttar Pradesh, India"",""is_active"":1}"
locations,88,"{""id"":88,""kind"":""district"",""parent_id"":81,""name"":""Gautam Buddha Nagar"",""slug"":""gautam-buddha-nagar"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Gautam Buddha Nagar, Uttar Pradesh, India"",""is_active"":1}"
locations,89,"{""id"":89,""kind"":""city"",""parent_id"":88,""name"":""Noida"",""slug"":""noida"",""code"":null,""pin_code"":null,""latitude"":28.5355,""longitude"":77.391,""search_text"":""Noida, Gautam Buddha Nagar, Uttar Pradesh, India"",""is_active"":1}"
locations,90,"{""id"":90,""kind"":""locality"",""parent_id"":89,""name"":""Sector 18"",""slug"":""sector-18"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Sector 18, Noida, Gautam Buddha Nagar, Uttar Pradesh, India"",""is_active"":1}"
locations,91,"{""id"":91,""kind"":""pincode"",""parent_id"":90,""name"":""201301"",""slug"":""pin-201301"",""code"":null,""pin_code"":""201301"",""latitude"":null,""longitude"":null,""search_text"":""201301, Sector 18, Noida, Gautam Buddha Nagar, Uttar Pradesh, India"",""is_active"":1}"
locations,92,"{""id"":92,""kind"":""state"",""parent_id"":1,""name"":""West Bengal"",""slug"":""west-bengal"",""code"":""WB"",""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""West Bengal, India"",""is_active"":1}"
locations,93,"{""id"":93,""kind"":""district"",""parent_id"":92,""name"":""Kolkata"",""slug"":""kolkata"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Kolkata, West Bengal, India"",""is_active"":1}"
locations,94,"{""id"":94,""kind"":""city"",""parent_id"":93,""name"":""Kolkata"",""slug"":""kolkata"",""code"":null,""pin_code"":null,""latitude"":22.5726,""longitude"":88.3639,""search_text"":""Kolkata, Kolkata, West Bengal, India"",""is_active"":1}"
locations,95,"{""id"":95,""kind"":""locality"",""parent_id"":94,""name"":""Park Street"",""slug"":""park-street"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Park Street, Kolkata, Kolkata, West Bengal, India"",""is_active"":1}"
locations,96,"{""id"":96,""kind"":""pincode"",""parent_id"":95,""name"":""700016"",""slug"":""pin-700016"",""code"":null,""pin_code"":""700016"",""latitude"":null,""longitude"":null,""search_text"":""700016, Park Street, Kolkata, Kolkata, West Bengal, India"",""is_active"":1}"
locations,97,"{""id"":97,""kind"":""locality"",""parent_id"":94,""name"":""Salt Lake City"",""slug"":""salt-lake-city"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Salt Lake City, Kolkata, Kolkata, West Bengal, India"",""is_active"":1}"
locations,98,"{""id"":98,""kind"":""pincode"",""parent_id"":97,""name"":""700064"",""slug"":""pin-700064"",""code"":null,""pin_code"":""700064"",""latitude"":null,""longitude"":null,""search_text"":""700064, Salt Lake City, Kolkata, Kolkata, West Bengal, India"",""is_active"":1}"
locations,99,"{""id"":99,""kind"":""state"",""parent_id"":1,""name"":""Rajasthan"",""slug"":""rajasthan"",""code"":""RJ"",""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Rajasthan, India"",""is_active"":1}"
locations,100,"{""id"":100,""kind"":""district"",""parent_id"":99,""name"":""Jaipur"",""slug"":""jaipur"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Jaipur, Rajasthan, India"",""is_active"":1}"
locations,101,"{""id"":101,""kind"":""city"",""parent_id"":100,""name"":""Jaipur"",""slug"":""jaipur"",""code"":null,""pin_code"":null,""latitude"":26.9124,""longitude"":75.7873,""search_text"":""Jaipur, Jaipur, Rajasthan, India"",""is_active"":1}"
locations,102,"{""id"":102,""kind"":""locality"",""parent_id"":101,""name"":""Malviya Nagar"",""slug"":""malviya-nagar"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Malviya Nagar, Jaipur, Jaipur, Rajasthan, India"",""is_active"":1}"
locations,103,"{""id"":103,""kind"":""pincode"",""parent_id"":102,""name"":""302017"",""slug"":""pin-302017"",""code"":null,""pin_code"":""302017"",""latitude"":null,""longitude"":null,""search_text"":""302017, Malviya Nagar, Jaipur, Jaipur, Rajasthan, India"",""is_active"":1}"
locations,104,"{""id"":104,""kind"":""locality"",""parent_id"":101,""name"":""Vaishali Nagar"",""slug"":""vaishali-nagar"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Vaishali Nagar, Jaipur, Jaipur, Rajasthan, India"",""is_active"":1}"
locations,105,"{""id"":105,""kind"":""pincode"",""parent_id"":104,""name"":""302021"",""slug"":""pin-302021"",""code"":null,""pin_code"":""302021"",""latitude"":null,""longitude"":null,""search_text"":""302021, Vaishali Nagar, Jaipur, Jaipur, Rajasthan, India"",""is_active"":1}"
